CustomerCode,FirstName,LastName,Gender,DateOfBirth,Email,Phone,City,State,Region,JoiningDate,CustomerSegment
CUST00001,Jagrati,Singh,Male,2002-03-16,parmarmadhav@example.com,+916800944310,Tadipatri,Uttarakhand,West,2022-06-11,Regular
CUST00002,Dayamai,Raman,Male,2007-07-08,omittal@example.com,9806442691,Bokaro,Jharkhand,East,2024-10-07,Corporate
CUST00003,Saumya,Manne,Female,1990-06-13,pranit01@example.net,04527379625,Chandrapur,Uttar Pradesh,South,2025-09-11,Corporate
CUST00004,Idika,Bora,Female,1987-03-13,fbalay@example.net,7999369920,Chandrapur,Meghalaya,West,2024-07-04,Premium
CUST00005,Forum,Dube,Female,1988-10-18,cchad@example.org,08372386446,Tirunelveli,Uttar Pradesh,South,2024-12-24,Corporate
CUST00006,Vinaya,Pai,Female,1971-09-10,bordelucky@example.org,6789028329,Karimnagar,Punjab,North,2026-01-26,Corporate
CUST00007,Samarth,Bath,Female,2004-05-07,anvi94@example.net,+914886764807,Chinsurah,Assam,North,2026-03-10,Regular
CUST00008,Dalaja,Prashad,Female,1990-02-10,sachichauhan@example.net,07151899831,Kishanganj,Bihar,North,2025-05-06,Regular
CUST00009,Eesha,Dhaliwal,Male,2008-03-18,settymanan@example.net,9021669743,Katihar,Mizoram,West,2025-06-06,Corporate
CUST00010,Advik,Koshy,Female,2002-03-01,urishillaatwal@example.com,+917424167531,Jodhpur,Nagaland,West,2024-12-10,Regular
CUST00011,Devika,Chaudhari,Female,1976-10-21,golakeya@example.org,3781094481,Vasai-Virar,Odisha,West,2022-04-02,Premium
CUST00012,Anvi,Panchal,Male,1993-05-08,bahadurjit58@example.net,3035381174,Nagercoil,Odisha,West,2022-12-01,Regular
CUST00013,Diya,Viswanathan,Female,1971-12-11,kademason@example.net,+918945459592,Karawal Nagar,Gujarat,North,2022-01-16,Corporate
CUST00014,Bachittar,Hayer,Female,1974-11-15,wablefaris@example.net,06153408242,Alappuzha,Manipur,North,2026-04-04,Regular
CUST00015,Ojasvi,Chokshi,Female,1971-11-24,ria09@example.com,0732810741,Erode,Assam,North,2025-11-05,Corporate
CUST00016,Manthan,Dar,Male,1981-08-29,cnatarajan@example.net,0150941978,Nandyal,Uttarakhand,North,2024-09-13,Corporate
CUST00017,Pranit,Sinha,Male,1975-03-17,ayushmanzachariah@example.org,+910121236767,Raiganj,Chhattisgarh,East,2024-12-01,Regular
CUST00018,Udant,Gulati,Male,1989-11-13,omisha35@example.org,5540485405,Warangal,Nagaland,South,2022-01-01,Premium
CUST00019,Anika,Kala,Female,1983-01-16,abha62@example.org,00236132690,Warangal,Kerala,West,2026-05-16,Corporate
CUST00020,Oliver,Bansal,Female,1978-08-03,saranjeremiah@example.com,3361950896,Davanagere,Madhya Pradesh,East,2023-10-24,Premium
CUST00021,Ati,Basu,Male,1993-06-01,banjeetsarkar@example.org,08226208095,Jodhpur,Andhra Pradesh,East,2026-05-07,Regular
CUST00022,Liam,Dixit,Male,1985-04-29,sramachandran@example.com,07830700741,Bhatpara,Gujarat,South,2024-12-25,Corporate
CUST00023,Ekaraj,Varghese,Female,1978-05-29,manyareddy@example.com,9561862341,Begusarai,Uttarakhand,East,2025-10-14,Regular
CUST00024,Charita,Khatri,Female,1972-08-19,sehgallopa@example.com,05497082074,Faridabad,Arunachal Pradesh,West,2024-02-24,Regular
CUST00025,Samar,Kale,Male,1974-10-19,jyoti24@example.net,+917021233393,Unnao,Karnataka,North,2023-07-29,Corporate
CUST00026,Vedhika,Tak,Female,1984-05-19,aarinideol@example.org,3934511663,Siwan,Arunachal Pradesh,North,2022-09-26,Premium
CUST00027,Samar,Vasa,Female,2005-10-25,hemangsangha@example.com,9075976267,Shivpuri,Mizoram,West,2026-03-20,Premium
CUST00028,Girindra,Korpal,Female,1989-10-24,ksem@example.net,2730893543,Tinsukia,Tripura,South,2022-03-24,Premium
CUST00029,Garima,Jha,Male,1974-09-06,buchfinn@example.com,2229935460,Thiruvananthapuram,Nagaland,West,2025-12-02,Corporate
CUST00030,Ridhi,Hayre,Male,1998-11-26,skant@example.org,+916186975360,Alwar,Rajasthan,North,2024-09-22,Premium
CUST00031,Patrick,Badami,Male,1967-05-01,zmody@example.org,09979601238,Khammam,Gujarat,West,2023-09-20,Premium
CUST00032,Chakradhar,Verma,Male,1986-05-29,atharv71@example.org,+914862839426,Faridabad,Jharkhand,West,2022-07-21,Premium
CUST00033,Irya,Barad,Female,1999-04-05,anjalikalla@example.net,+918603124157,Rewa,Punjab,South,2022-09-03,Regular
CUST00034,Theodore,Bains,Male,1971-07-11,jraghavan@example.net,2772213861,Baranagar,Chhattisgarh,South,2024-04-19,Regular
CUST00035,Nitara,Kala,Female,1989-12-28,henry08@example.org,08924977254,Sikar,Karnataka,North,2024-06-26,Regular
CUST00036,Tanveer,Kapur,Male,1991-04-09,ugill@example.org,09542824281,Bikaner,West Bengal,North,2022-06-08,Premium
CUST00037,Anmol,Bhakta,Female,1995-09-29,lakshitsastry@example.com,+912410051758,Gwalior,Uttar Pradesh,East,2024-03-26,Premium
CUST00038,Jalsa,Gulati,Female,1989-09-01,ethankalita@example.org,+912246799700,Sambhal,Sikkim,South,2024-11-27,Premium
CUST00039,Urvi,Dube,Female,1987-03-26,simon99@example.com,06002813965,Jabalpur,Goa,East,2026-04-22,Premium
CUST00040,Pahal,Chandra,Male,1983-12-02,aarushraja@example.net,4196884309,Muzaffarnagar,Haryana,West,2026-02-28,Premium
CUST00041,Dhriti,Sarma,Male,1984-05-21,gaurangi03@example.net,8833809092,Kollam,Odisha,East,2021-09-01,Premium
CUST00042,Bhavya,Hora,Female,2005-05-19,krishnamurthybalendra@example.com,7842237272,Hubli–Dharwad,Arunachal Pradesh,South,2025-07-08,Regular
CUST00043,Neelima,Modi,Female,1997-06-06,kavyasingh@example.org,05877686473,Tumkur,Mizoram,East,2021-11-19,Corporate
CUST00044,Yashasvi,Anand,Male,1986-05-23,dahuja@example.org,09630549018,Kozhikode,Haryana,East,2025-05-24,Corporate
CUST00045,Parth,Anand,Male,1996-12-24,ethan12@example.net,0561373175,Bhatpara,Chhattisgarh,East,2025-11-28,Corporate
CUST00046,Ekalinga,Dar,Male,2006-05-19,dkarpe@example.org,+915652254622,Kharagpur,Meghalaya,East,2022-10-26,Premium
CUST00047,Hemangini,Baria,Female,1981-08-18,wmunshi@example.org,+915934211658,Delhi,Karnataka,West,2024-09-01,Corporate
CUST00048,Lakshmi,Kale,Female,1986-08-10,narangaarini@example.org,07009738996,Katihar,Uttarakhand,South,2025-08-05,Regular
CUST00049,Kalpit,Hayre,Male,1969-08-10,aarav75@example.org,+915776546296,Tadipatri,Sikkim,South,2023-06-03,Corporate
CUST00050,Lohit,Sha,Male,1988-11-16,lipika86@example.net,4207366964,Motihari,Tripura,East,2023-03-05,Corporate
CUST00051,Naksh,Saraf,Female,1974-02-08,zsridhar@example.net,+913549420776,Srinagar,Gujarat,East,2023-02-12,Regular
CUST00052,Jacob,Banik,Male,1966-05-28,zaitrasangha@example.org,01426538532,Gorakhpur,Meghalaya,North,2023-04-23,Corporate
CUST00053,Ojasvi,Sengupta,Female,1992-01-27,khalsavedika@example.net,03824994687,Ranchi,Punjab,North,2025-06-18,Regular
CUST00054,Zaid,Dugar,Male,1989-07-31,aadhya52@example.com,+910501458600,Bhiwani,Goa,North,2023-02-28,Regular
CUST00055,Azaan,Nazareth,Female,1975-12-22,emahal@example.org,08439184472,Kanpur,Himachal Pradesh,East,2025-04-23,Regular
CUST00056,Vasudha,Patel,Male,2007-12-30,chaitalyravi@example.com,+912290850939,Bhalswa Jahangir Pur,Assam,East,2025-04-22,Regular
CUST00057,Ekanta,Mohanty,Female,2003-05-06,george08@example.com,08623796027,Chennai,Bihar,West,2024-01-25,Premium
CUST00058,Mitesh,Bumb,Female,1980-12-06,bajajamruta@example.org,02186598429,Rourkela,Madhya Pradesh,West,2022-08-28,Premium
CUST00059,Upadhriti,Mani,Male,1978-03-22,krishnamitra@example.org,2277145665,Raurkela Industrial Township,Manipur,South,2021-12-12,Corporate
CUST00060,Aashi,Karpe,Female,1976-02-09,falak84@example.org,05838763367,Varanasi,Haryana,South,2021-09-06,Corporate
CUST00061,Ayaan,Nadig,Male,1994-09-02,mraval@example.org,03384999583,Bulandshahr,West Bengal,West,2022-10-25,Corporate
CUST00062,Mahika,Sundaram,Male,1974-05-24,narainurvashi@example.net,04828721233,Erode,Chhattisgarh,West,2024-08-22,Premium
CUST00063,Ranbir,Chaudhary,Female,2004-10-16,tanviswamy@example.org,06029175218,Jalgaon,Haryana,West,2021-08-17,Corporate
CUST00064,Udyati,Narayanan,Male,1978-10-10,qkari@example.com,+913790584905,Tiruvottiyur,Himachal Pradesh,North,2025-02-03,Regular
CUST00065,Edhitha,Choudhury,Male,1975-04-22,hsoni@example.com,4326157642,Guntur,Assam,East,2026-03-28,Regular
CUST00066,Anvi,Narain,Female,1984-07-23,sarahayre@example.org,6582179995,Bilaspur,Odisha,North,2025-05-10,Corporate
CUST00067,Aachal,Kibe,Male,1975-07-25,charles73@example.org,04390863542,Durgapur,Meghalaya,South,2022-02-16,Regular
CUST00068,Maanav,Master,Female,1996-05-22,anmolanne@example.com,+917186980270,Dhanbad,Meghalaya,North,2022-10-17,Corporate
CUST00069,Radha,Ranganathan,Male,1973-04-20,kashish61@example.org,+916825754515,Adoni,Odisha,East,2025-07-31,Regular
CUST00070,Nihal,Dutta,Female,2004-09-11,ychad@example.net,01135148244,Tiruvottiyur,Odisha,North,2024-01-13,Premium
CUST00071,Jason,Dara,Male,1997-12-07,zayyanbora@example.com,07720671478,Chinsurah,Telangana,South,2024-11-12,Premium
CUST00072,Priya,Sangha,Female,1995-05-07,mandnandini@example.com,03209235609,Chandigarh,Uttarakhand,South,2023-06-06,Regular
CUST00073,Alka,Srinivasan,Female,1977-01-08,ladqasim@example.net,+913594362827,Kavali,Telangana,West,2023-03-24,Corporate
CUST00074,Nidhi,Som,Male,1997-11-19,soodriya@example.org,00314902161,Amroha,Sikkim,North,2025-03-26,Premium
CUST00075,Riya,Oommen,Male,1999-11-12,zdass@example.com,+914285118212,Kottayam,Chhattisgarh,North,2025-04-28,Corporate
CUST00076,Gavin,Issac,Male,2000-06-30,karanyutika@example.com,+914770318313,Nashik,Karnataka,West,2024-03-29,Regular
CUST00077,Christopher,Ghose,Male,2006-03-25,manthan48@example.net,+912480911083,Dhanbad,Mizoram,East,2023-10-04,Premium
CUST00078,Upadhriti,Dara,Male,2000-09-27,max93@example.net,02486144300,Jaipur,Chhattisgarh,East,2023-12-23,Premium
CUST00079,Urvi,Sule,Female,1986-10-28,jvaidya@example.net,2182665764,Udupi,Andhra Pradesh,East,2023-10-09,Corporate
CUST00080,Urvashi,Verma,Male,1973-07-03,bishakhasinghal@example.org,6289353630,Aizawl,Tripura,North,2024-06-24,Corporate
CUST00081,Chasmum,Sanghvi,Female,1971-09-26,atitandon@example.net,06180100695,Coimbatore,Jharkhand,East,2023-05-03,Premium
CUST00082,Bachittar,Sethi,Female,1994-06-28,hayredavid@example.com,1134402541,Hubli–Dharwad,Uttarakhand,North,2025-12-06,Regular
CUST00083,Inaya,Lata,Male,1991-08-10,vdugar@example.org,3352011326,Dhanbad,Manipur,South,2022-07-24,Regular
CUST00084,Gaurangi,Borde,Female,2005-12-01,garimakale@example.org,+910039482237,Dehradun,Tripura,East,2024-02-15,Corporate
CUST00085,Chatura,Kant,Female,2006-07-02,bhavani84@example.com,01627902620,Saharanpur,Sikkim,North,2022-05-11,Premium
CUST00086,Siya,Deep,Male,1991-11-08,baljiwan89@example.org,08327188078,Jabalpur,Odisha,North,2023-03-16,Regular
CUST00087,Lipika,Chatterjee,Male,2005-03-18,fiyazjoshi@example.org,+915176933805,Gaya,Manipur,South,2023-08-17,Corporate
CUST00088,Orinder,Barad,Female,1989-10-07,wyatt70@example.com,+914745827571,Bhopal,Bihar,South,2024-09-19,Corporate
CUST00089,Karan,Modi,Male,1992-05-22,chokshinilima@example.org,+913959901171,Salem,Arunachal Pradesh,North,2025-12-02,Premium
CUST00090,Hemani,Rau,Female,1974-09-05,kamya39@example.com,+913772386285,Bangalore,Tripura,South,2024-11-08,Premium
CUST00091,Nitara,Behl,Female,1983-09-11,bhaktaamrita@example.net,+916478882623,Bikaner,Uttar Pradesh,West,2024-12-30,Corporate
